,Azim,Ed,El,Gd,Gl,Lindex,Ll,Lseed,Lw,axe,dincB,dpAngle,incB,n,pAngle,plant
0,183.6433947,0.004489903,0,0.004489903,0.029678319,1,0.070965357,1,0.003730961,MS,0,0,-999,1,-999,1
1,178.8998954,0.004489903,0,0.004489903,0.029567397,1,0.07467846,1,0.003731156,MS,0,0,-999,2,-999,1
2,182.773207,0.004489903,0,0.004489903,0.029456475,1,0.078395307,1,0.003731352,MS,0,0,-999,3,-999,1
3,184.60618,0.004489903,0,0.004489903,0.029345554,1,0.08208177,1,0.003731548,MS,0,0,-999,4,-999,1
4,179.3465948,0.004489903,0,0.004489903,0.029234632,1,0.085628123,1,0.003731743,MS,0,0,-999,5,-999,1
5,182.1251468,0.004489903,0,0.004489903,0.02912371,1,0.088856483,1,0.003731939,MS,0,0,-999,6,-999,1
6,178.9999437,0.004489903,0,0.004489903,0.029012788,1,0.091633622,1,0.003732134,MS,0,0,-999,7,-999,1
7,178.2535215,0.004489903,0,0.004489903,0.028900519,1,0.093784391,1,0.00373237,MS,0,0,-999,8,-999,1
8,182.5708715,0.004489903,0,0.004489903,0.028785407,1,0.09519889,1,0.003734282,MS,0,0,-999,9,-999,1
9,177.0269226,0.004489903,0,0.004489903,0.028692161,1,0.095958589,1,0.003744218,MS,0,0,-999,10,-999,1
10,182.1112122,0.004489903,0,0.004489903,0.028668787,1,0.096161452,1,0.003773458,MS,0,0,-999,11,-999,1
11,176.2169192,0.004489903,0,0.004489903,0.028752399,1,0.095947971,1,0.003831083,MS,0,0,-999,12,-999,1
12,177.4548851,0.004489903,0,0.004489903,0.028968234,1,0.095401033,1,0.003926463,MS,0,0,-999,13,-999,1
13,176.4330438,0.004489903,0,0.004489903,0.029312268,1,0.094704376,1,0.004058793,MS,0,0,-999,14,-999,1
14,177.3962942,0.004489903,0,0.004489903,0.029788248,1,0.09408038,1,0.004220208,MS,0,0,-999,15,-999,1
15,175.5893438,0.004489903,0,0.004489903,0.030419559,1,0.093767118,1,0.004405258,MS,0,0,-999,16,-999,1
16,181.4228826,0.004489903,0,0.004489903,0.031194978,1,0.093942644,1,0.004607067,MS,0,0,-999,17,-999,1
17,183.7626921,0.004489903,0,0.004489903,0.032092583,1,0.094692568,1,0.004823516,MS,0,0,-999,18,-999,1
18,182.7891468,0.004489903,0,0.004489903,0.03309615,1,0.095988078,1,0.005052287,MS,0,0,-999,19,-999,1
19,182.9730883,0.004489903,0,0.004489903,0.034198475,1,0.097771768,1,0.005290729,MS,0,0,-999,20,-999,1
20,179.5527445,0.004489903,0,0.004489903,0.035416227,1,0.100043508,1,0.005537326,MS,0,0,-999,21,-999,1
21,179.1008408,0.004489903,0,0.004489903,0.036803343,1,0.102795506,1,0.005794161,MS,0,0,-999,22,-999,1
22,183.1087024,0.004489903,1.87E-05,0.004489903,0.038506008,1,0.106136648,1,0.006075637,MS,0,0,-999,23,-999,1
23,181.0493329,0.004489903,0.000333802,0.004489903,0.040697319,1,0.110092171,1,0.006400822,MS,0,0,-999,24,-999,1
24,181.5472393,0.004489903,0.000854025,0.004489903,0.043517036,1,0.114577156,1,0.0067839,MS,0,0,-999,25,-999,1
25,178.5319727,0.004489903,0.001603297,0.004489903,0.047073167,1,0.119598026,1,0.007234151,MS,0,0,-999,26,-999,1
26,177.7026015,0.004489903,0.002555756,0.004489903,0.051248991,1,0.125136816,1,0.007744552,MS,0,0,-999,27,-999,1
27,184.9268406,0.004489903,0.003710004,0.004489903,0.056001391,1,0.131259403,1,0.008308599,MS,0,0,-999,28,-999,1
28,181.3349326,0.004489903,0.005071364,0.004489903,0.061228726,1,0.137997707,1,0.008911305,MS,0,0,-999,29,-999,1
29,177.1320814,0.004489903,0.006679519,0.004489903,0.066625575,1,0.145400262,1,0.009530562,MS,0,0,-999,30,-999,1
30,176.2937235,0.004489903,0.00862597,0.004489903,0.071764738,1,0.153535122,1,0.010137335,MS,0,0,-999,31,-999,1
31,179.7811803,0.004489903,0.010980783,0.004489903,0.076324895,1,0.162238393,1,0.010698047,MS,0,0,-999,32,-999,1
32,184.2407447,0.004489903,0.01391612,0.004489903,0.080230913,1,0.171339472,1,0.011181609,MS,0,0,-999,33,-999,1
33,180.9876097,0.004489903,0.017606836,0.004489903,0.083576804,1,0.180520012,1,0.011580356,MS,0,0,-999,34,-999,1
34,184.7617069,0.004489903,0.022134354,0.004489903,0.086491258,1,0.189382464,1,0.011911594,MS,0,0,-999,35,-999,1
35,182.3179251,0.004489903,0.027507688,0.004489903,0.088953434,1,0.197309296,1,0.012196992,MS,0,0,-999,36,-999,1
36,178.5672691,0.004489903,0.033556703,0.004489903,0.091018063,1,0.203896178,1,0.012460674,MS,0,0,-999,37,-999,1
37,179.3147369,0.004489903,0.040171628,0.004489903,0.092800171,1,0.208707652,1,0.012718305,MS,0,0,-999,38,-999,1
38,176.4821156,0.004489903,0.047244023,0.004489903,0.094462401,1,0.211395266,1,0.012977026,MS,0,0,-999,39,-999,1
39,175.1307758,0.004489903,0.054729714,0.004489903,0.096116129,1,0.211603412,1,0.013238846,MS,0,0,-999,40,-999,1
40,182.1556607,0.004489903,0.062673487,0.004489903,0.097967706,1,0.208821759,1,0.013509078,MS,0,0,-999,41,-999,1
41,176.0318424,0.004489903,0.07106072,0.004489903,0.100345442,1,0.203167478,1,0.013792877,MS,0,0,-999,42,-999,1
42,179.4628435,0.004489903,0.079892405,0.004489903,0.103540596,1,0.194842274,1,0.01408455,MS,0,0,-999,43,-999,1
43,181.4010105,0.004489903,0.089098811,0.004489903,0.107633622,1,0.184331245,1,0.014359183,MS,0,0,-999,44,-999,1
44,184.9183862,0.004489903,0.0985915,0.004489903,0.112503561,1,0.172247181,1,0.014578805,MS,0,0,-999,45,-999,1
45,179.7356147,0.004489903,0.108527488,0.004489903,0.118061925,1,0.159285138,1,0.014714275,MS,0,0,-999,46,-999,1
46,179.0609715,0.004489903,0.119115646,0.004489903,0.124082553,1,0.14618719,1,0.014781612,MS,0,0,-999,47,-999,1
47,160.4065401,0.004489903,0.130287118,0.004489903,0.130378987,1,0.133245473,1,0.014795226,MS,0,0,-999,48,-999,1
48,195.2892567,0.004489903,0.141767283,0.004489903,0.136664239,1,0.120516932,1,0.014764502,MS,0,0,-999,49,-999,1
49,177.2337294,0.004489903,0.153524505,0.004489903,0.142929457,1,0.108028402,1,0.014708915,MS,0,0,-999,50,-999,1
50,0,0,0,0,0,-999,0,-999,0,MS,0,0,0,51,0,1
51,0,0,0,0,0,-999,0,-999,0,MS,0,0,0,52,0,1
52,0,0,0,0,0,-999,0,-999,0,MS,0,0,0,53,0,1
