t,Date,DOY,hour,air_temperature,PARi,soil_temperature,humidity,ambient_CO2,Wind
0,17/12/1998,351,12,5.2,516.2222222,5.84,0.95,360,2.9
1,17/12/1998,351,13,5.6,549.8888889,6.264,0.88,360,2.9
2,17/12/1998,351,14,4.8,392.7777778,5.415,0.92,360,2.9
3,17/12/1998,351,15,3.6,157.1111111,6.223,0.95,360,2.9
4,17/12/1998,351,16,3.5,22.44444444,5.957,0.96,360,2.9
5,17/12/1998,351,17,3.6,0,5.733,0.97,360,2.9
6,17/12/1998,351,18,3.7,0,5.59,0.98,360,2.9
7,17/12/1998,351,19,3.9,0,5.511,0.99,360,2.9
8,17/12/1998,351,20,3.9,0,5.48,0.99,360,2.9
9,17/12/1998,351,21,4.4,0,5.455,0.99,360,2.9
10,17/12/1998,351,22,4.7,0,5.45,0.99,360,2.9
11,17/12/1998,351,23,4.4,0,5.466,0.99,360,2.9
12,17/12/1998,351,24,4.3,0,5.445,0.98,360,4.6
13,18/12/1998,352,1,4.5,0,5.385,0.96,360,4.6
14,18/12/1998,352,2,4.5,0,5.346,0.96,360,4.6
15,18/12/1998,352,3,5.1,0,5.347,0.96,360,4.6
16,18/12/1998,352,4,5.5,0,5.401,0.95,360,4.6
17,18/12/1998,352,5,5.8,0,5.489,0.95,360,4.6
18,18/12/1998,352,6,6.2,0,5.6,0.94,360,4.6
19,18/12/1998,352,7,6.6,0,5.712,0.94,360,4.6
20,18/12/1998,352,8,7.1,0,5.84,0.93,360,4.6
21,18/12/1998,352,9,7.2,11.22222222,6.001,0.95,360,4.6
22,18/12/1998,352,10,7.7,33.66666667,6.203,0.95,360,4.6
23,18/12/1998,352,11,7.6,33.66666667,6.433,0.95,360,4.6
24,18/12/1998,352,12,7.7,22.44444444,6.626,0.95,360,4.6
25,18/12/1998,352,13,7.9,44.88888889,6.773,0.96,360,4.6
26,18/12/1998,352,14,8.3,56.11111111,6.931,0.95,360,4.6
27,18/12/1998,352,15,8.4,33.66666667,7.14,0.96,360,4.6
28,18/12/1998,352,16,8.8,11.22222222,7.305,0.96,360,4.6
29,18/12/1998,352,17,9.1,0,7.425,0.95,360,4.6
30,18/12/1998,352,18,9.2,0,7.5,0.95,360,4.6
31,18/12/1998,352,19,9.1,0,7.57,0.92,360,4.6
32,18/12/1998,352,20,9.4,0,7.535,0.9,360,4.6
33,18/12/1998,352,21,8.9,0,7.59,0.88,360,4.6
34,18/12/1998,352,22,8.8,0,7.52,0.85,360,4.6
35,18/12/1998,352,23,8.8,0,7.365,0.87,360,4.6
36,18/12/1998,352,24,8.8,0,7.43,0.91,360,5.2
37,19/12/1998,353,1,8.8,0,7.53,0.84,360,5.2
38,19/12/1998,353,2,8.5,0,7.465,0.78,360,5.2
39,19/12/1998,353,3,7.8,0,7.16,0.84,360,5.2
40,19/12/1998,353,4,8.5,0,7.015,0.82,360,5.2
41,19/12/1998,353,5,7.9,0,7.035,0.82,360,5.2
42,19/12/1998,353,6,7.2,0,6.996,0.88,360,5.2
43,19/12/1998,353,7,6.6,0,6.928,0.86,360,5.2
44,19/12/1998,353,8,6.1,0,6.727,0.86,360,5.2
45,19/12/1998,353,9,6.6,157.1111111,6.381,0.83,360,5.2
