t,plant,axis,organ,Uptake_Nitrates
100,1,MS,roots,0.1195467
101,1,MS,roots,0.11945063
102,1,MS,roots,0.11892399
103,1,MS,roots,0.11744241
104,1,MS,roots,0.11771269
105,1,MS,roots,0.11848071
106,1,MS,roots,0.118907
107,1,MS,roots,0.11888583
108,1,MS,roots,0.11904358
109,1,MS,roots,0.11921008
110,1,MS,roots,0.11952527
111,1,MS,roots,0.11980295
112,1,MS,roots,0.11963297
113,1,MS,roots,0.11948548
114,1,MS,roots,0.11958089
115,1,MS,roots,0.11961657
116,1,MS,roots,0.11979609
117,1,MS,roots,0.12004336
118,1,MS,roots,0.12116294
119,1,MS,roots,0.12431013
120,1,MS,roots,0.13082426
121,1,MS,roots,0.13936023
122,1,MS,roots,0.14616262
123,1,MS,roots,0.15155916
124,1,MS,roots,0.15399541
125,1,MS,roots,0.15337559
126,1,MS,roots,0.15157414
127,1,MS,roots,0.14822544
128,1,MS,roots,0.14306511
129,1,MS,roots,0.1404787
130,1,MS,roots,0.14006452
131,1,MS,roots,0.13980029
132,1,MS,roots,0.139103
133,1,MS,roots,0.13825636
134,1,MS,roots,0.13500785
135,1,MS,roots,0.13225029
136,1,MS,roots,0.13096729
137,1,MS,roots,0.12988157
138,1,MS,roots,0.12885306
139,1,MS,roots,0.12775759
140,1,MS,roots,0.12664935
141,1,MS,roots,0.12583382
142,1,MS,roots,0.12633712
143,1,MS,roots,0.1284207
144,1,MS,roots,0.13139511
145,1,MS,roots,0.13606901
146,1,MS,roots,0.14239255
147,1,MS,roots,0.14938784
148,1,MS,roots,0.15224954
149,1,MS,roots,0.15109662
150,1,MS,roots,0.1491564
151,1,MS,roots,0.14874897
152,1,MS,roots,0.14891396
153,1,MS,roots,0.14898883
154,1,MS,roots,0.14910544
155,1,MS,roots,0.14926406
156,1,MS,roots,0.14948749
157,1,MS,roots,0.14971358
158,1,MS,roots,0.14998761
159,1,MS,roots,0.1506206
160,1,MS,roots,0.1517123
161,1,MS,roots,0.15273647
162,1,MS,roots,0.15405148
163,1,MS,roots,0.15410216
164,1,MS,roots,0.15051276
165,1,MS,roots,0.14731936
166,1,MS,roots,0.14773054
167,1,MS,roots,0.15513
168,1,MS,roots,0.16782499
169,1,MS,roots,0.18364952
170,1,MS,roots,0.19893621
171,1,MS,roots,0.20547443
172,1,MS,roots,0.2039644
173,1,MS,roots,0.19805842
174,1,MS,roots,0.19068046
175,1,MS,roots,0.18799219
176,1,MS,roots,0.18885574
177,1,MS,roots,0.19078387
178,1,MS,roots,0.19254262
179,1,MS,roots,0.19381364
180,1,MS,roots,0.19487845
181,1,MS,roots,0.19624275
182,1,MS,roots,0.19825232
183,1,MS,roots,0.20051137
184,1,MS,roots,0.20153393
185,1,MS,roots,0.20213059
186,1,MS,roots,0.20292297
187,1,MS,roots,0.2036749
188,1,MS,roots,0.20391715
189,1,MS,roots,0.20445815
190,1,MS,roots,0.20616008
191,1,MS,roots,0.21002651
192,1,MS,roots,0.21531827
193,1,MS,roots,0.22337897
194,1,MS,roots,0.23112933
195,1,MS,roots,0.23588865
196,1,MS,roots,0.23843556
197,1,MS,roots,0.23821737
198,1,MS,roots,0.23705542
199,1,MS,roots,0.23574918
200,1,MS,roots,0.23391938
201,1,MS,roots,0.23180752
202,1,MS,roots,0.22983603
203,1,MS,roots,0.22927283
204,1,MS,roots,0.22848178
205,1,MS,roots,0.22728613
206,1,MS,roots,0.22564161
207,1,MS,roots,0.22390096
208,1,MS,roots,0.2223809
209,1,MS,roots,0.22000293
210,1,MS,roots,0.21768612
211,1,MS,roots,0.21526616
212,1,MS,roots,0.21140354
213,1,MS,roots,0.20593431
214,1,MS,roots,0.20124837
215,1,MS,roots,0.19878525
216,1,MS,roots,0.19739092
217,1,MS,roots,0.19611024
218,1,MS,roots,0.19471741
219,1,MS,roots,0.19525305
220,1,MS,roots,0.19692579
221,1,MS,roots,0.19742281
222,1,MS,roots,0.19793527
223,1,MS,roots,0.19731686
224,1,MS,roots,0.19468578
225,1,MS,roots,0.19191592
226,1,MS,roots,0.19006788
227,1,MS,roots,0.1886777
228,1,MS,roots,0.18811391
229,1,MS,roots,0.18803377
230,1,MS,roots,0.18720691
231,1,MS,roots,0.18547146
232,1,MS,roots,0.18324638
233,1,MS,roots,0.17896412
234,1,MS,roots,0.17313816
235,1,MS,roots,0.16707227
236,1,MS,roots,0.16318869
237,1,MS,roots,0.16298324
238,1,MS,roots,0.16082434
239,1,MS,roots,0.15913071
240,1,MS,roots,0.16176689
241,1,MS,roots,0.16539111
242,1,MS,roots,0.16700847
243,1,MS,roots,0.16742686
244,1,MS,roots,0.16643737
245,1,MS,roots,0.16528238
246,1,MS,roots,0.16498752
247,1,MS,roots,0.16483017
248,1,MS,roots,0.16399193
249,1,MS,roots,0.16301446
250,1,MS,roots,0.16069851
251,1,MS,roots,0.15831902
252,1,MS,roots,0.15651242
253,1,MS,roots,0.15291136
254,1,MS,roots,0.14796769
255,1,MS,roots,0.14444216
256,1,MS,roots,0.14177093
257,1,MS,roots,0.13972053
258,1,MS,roots,0.13751333
259,1,MS,roots,0.13406428
260,1,MS,roots,0.12864895
261,1,MS,roots,0.12368265
262,1,MS,roots,0.11993877
263,1,MS,roots,0.11709342
264,1,MS,roots,0.11583366
265,1,MS,roots,0.11517231
266,1,MS,roots,0.11360276
267,1,MS,roots,0.11244162
268,1,MS,roots,0.11056173
269,1,MS,roots,0.10780095
270,1,MS,roots,0.10429415
271,1,MS,roots,0.09993108
272,1,MS,roots,0.09605315
273,1,MS,roots,0.09322829
274,1,MS,roots,0.09255482
275,1,MS,roots,0.09309066
276,1,MS,roots,0.09314836
277,1,MS,roots,0.09259236
278,1,MS,roots,0.09162323
279,1,MS,roots,0.09022735
280,1,MS,roots,0.08861165
281,1,MS,roots,0.08699612
282,1,MS,roots,0.08562021
283,1,MS,roots,0.0841747
284,1,MS,roots,0.08235892
285,1,MS,roots,0.08073665
286,1,MS,roots,0.08071433
287,1,MS,roots,0.08267593
288,1,MS,roots,0.08693838
289,1,MS,roots,0.09335444
290,1,MS,roots,0.10146084
291,1,MS,roots,0.1081118
292,1,MS,roots,0.11146579
293,1,MS,roots,0.11282651
294,1,MS,roots,0.11312584
295,1,MS,roots,0.11334886
296,1,MS,roots,0.11368805
297,1,MS,roots,0.11393115
298,1,MS,roots,0.11389267
299,1,MS,roots,0.11375373
300,1,MS,roots,0.11310126
301,1,MS,roots,0.11160702
302,1,MS,roots,0.11014013
303,1,MS,roots,0.10926228
304,1,MS,roots,0.1091907
305,1,MS,roots,0.10943027
306,1,MS,roots,0.11060849
307,1,MS,roots,0.11182702
308,1,MS,roots,0.11247712
309,1,MS,roots,0.11314509
310,1,MS,roots,0.11453884
311,1,MS,roots,0.11650047
312,1,MS,roots,0.11898353
313,1,MS,roots,0.12155102
314,1,MS,roots,0.12412172
315,1,MS,roots,0.12592351
316,1,MS,roots,0.1261511
317,1,MS,roots,0.12583862
318,1,MS,roots,0.12518659
319,1,MS,roots,0.12440232
320,1,MS,roots,0.12327439
321,1,MS,roots,0.12232177
322,1,MS,roots,0.12112984
323,1,MS,roots,0.12057972
324,1,MS,roots,0.12041923
325,1,MS,roots,0.12017792
326,1,MS,roots,0.11927634
327,1,MS,roots,0.11793837
328,1,MS,roots,0.11643215
329,1,MS,roots,0.11475395
330,1,MS,roots,0.11286125
331,1,MS,roots,0.11068337
332,1,MS,roots,0.10860964
333,1,MS,roots,0.10651042
334,1,MS,roots,0.10521252
335,1,MS,roots,0.10529477
336,1,MS,roots,0.10738154
337,1,MS,roots,0.10964927
338,1,MS,roots,0.11273159
339,1,MS,roots,0.11704511
340,1,MS,roots,0.12017944
341,1,MS,roots,0.12070394
342,1,MS,roots,0.12075094
343,1,MS,roots,0.12130728
344,1,MS,roots,0.12210161
345,1,MS,roots,0.12181048
346,1,MS,roots,0.12060783
347,1,MS,roots,0.12040788
348,1,MS,roots,0.12047319
349,1,MS,roots,0.11960534
350,1,MS,roots,0.11765975
351,1,MS,roots,0.11610226
352,1,MS,roots,0.11486203
353,1,MS,roots,0.11221013
354,1,MS,roots,0.10810885
355,1,MS,roots,0.10466338
356,1,MS,roots,0.10193155
357,1,MS,roots,0.09891524
358,1,MS,roots,0.09983484
359,1,MS,roots,0.10641246
360,1,MS,roots,0.11539042
361,1,MS,roots,0.1234272
362,1,MS,roots,0.13219609
363,1,MS,roots,0.14096898
364,1,MS,roots,0.14521417
365,1,MS,roots,0.1447264
366,1,MS,roots,0.14275463
367,1,MS,roots,0.14144999
368,1,MS,roots,0.14173454
369,1,MS,roots,0.14140235
370,1,MS,roots,0.1412859
371,1,MS,roots,0.14113824
372,1,MS,roots,0.14101819
373,1,MS,roots,0.14142791
374,1,MS,roots,0.14171733
375,1,MS,roots,0.14254761
376,1,MS,roots,0.1435619
377,1,MS,roots,0.14372982
378,1,MS,roots,0.14359789
379,1,MS,roots,0.14257673
380,1,MS,roots,0.1411438
381,1,MS,roots,0.14020256
382,1,MS,roots,0.13976307
383,1,MS,roots,0.14033172
384,1,MS,roots,0.14226575
385,1,MS,roots,0.14652015
386,1,MS,roots,0.15302517
387,1,MS,roots,0.1571283
388,1,MS,roots,0.15840047
389,1,MS,roots,0.15748182
390,1,MS,roots,0.1570585
391,1,MS,roots,0.15252977
392,1,MS,roots,0.14859004
393,1,MS,roots,0.14437832
394,1,MS,roots,0.14121266
395,1,MS,roots,0.13977368
396,1,MS,roots,0.13798739
397,1,MS,roots,0.13552775
398,1,MS,roots,0.13239915
399,1,MS,roots,0.12965003
400,1,MS,roots,0.12855028
401,1,MS,roots,0.12858546
402,1,MS,roots,0.13008462
403,1,MS,roots,0.13278501
404,1,MS,roots,0.13509894
405,1,MS,roots,0.13816856
406,1,MS,roots,0.14202337
407,1,MS,roots,0.14743722
408,1,MS,roots,0.15539771
409,1,MS,roots,0.16086388
410,1,MS,roots,0.16229625
411,1,MS,roots,0.16300452
412,1,MS,roots,0.16387091
413,1,MS,roots,0.16253791
414,1,MS,roots,0.16006266
415,1,MS,roots,0.16005083
416,1,MS,roots,0.16150037
417,1,MS,roots,0.1634794
418,1,MS,roots,0.16508682
419,1,MS,roots,0.16645392
420,1,MS,roots,0.16770757
421,1,MS,roots,0.16925102
422,1,MS,roots,0.17186006
423,1,MS,roots,0.17518465
424,1,MS,roots,0.17880492
425,1,MS,roots,0.18310456
426,1,MS,roots,0.18673491
427,1,MS,roots,0.18694844
428,1,MS,roots,0.1856927
429,1,MS,roots,0.18432207
430,1,MS,roots,0.18483915
431,1,MS,roots,0.18713239
432,1,MS,roots,0.19051194
433,1,MS,roots,0.19714495
434,1,MS,roots,0.20442813
435,1,MS,roots,0.20854237
436,1,MS,roots,0.21057278
437,1,MS,roots,0.21042628
438,1,MS,roots,0.20933471
439,1,MS,roots,0.20728812
440,1,MS,roots,0.20631144
441,1,MS,roots,0.20491074
442,1,MS,roots,0.20237611
443,1,MS,roots,0.19914654
444,1,MS,roots,0.19518942
445,1,MS,roots,0.19210958
446,1,MS,roots,0.18797605
447,1,MS,roots,0.17950093
448,1,MS,roots,0.16981076
449,1,MS,roots,0.16177625
450,1,MS,roots,0.15455899
451,1,MS,roots,0.14757586
452,1,MS,roots,0.14121891
453,1,MS,roots,0.13619485
454,1,MS,roots,0.13882292
455,1,MS,roots,0.14882987
456,1,MS,roots,0.16374914
457,1,MS,roots,0.18489852
458,1,MS,roots,0.20859231
459,1,MS,roots,0.22918192
460,1,MS,roots,0.23945112
461,1,MS,roots,0.24150475
462,1,MS,roots,0.24088717
463,1,MS,roots,0.24105444
464,1,MS,roots,0.24076213
465,1,MS,roots,0.23852258
466,1,MS,roots,0.23430514
467,1,MS,roots,0.22999643
468,1,MS,roots,0.22368602
469,1,MS,roots,0.21650519
470,1,MS,roots,0.2100697
471,1,MS,roots,0.20467933
472,1,MS,roots,0.20110005
473,1,MS,roots,0.19699435
474,1,MS,roots,0.19059041
475,1,MS,roots,0.18498196
476,1,MS,roots,0.1811911
477,1,MS,roots,0.17816121
478,1,MS,roots,0.1813524
479,1,MS,roots,0.19580298
480,1,MS,roots,0.21753145
481,1,MS,roots,0.24332548
482,1,MS,roots,0.26815033
483,1,MS,roots,0.28784227
484,1,MS,roots,0.29663252
485,1,MS,roots,0.29682409
486,1,MS,roots,0.29417294
487,1,MS,roots,0.29273937
488,1,MS,roots,0.29044255
489,1,MS,roots,0.2893736
490,1,MS,roots,0.28665322
491,1,MS,roots,0.28292218
492,1,MS,roots,0.28002138
493,1,MS,roots,0.27729524
494,1,MS,roots,0.27368306
495,1,MS,roots,0.26812955
496,1,MS,roots,0.26519859
497,1,MS,roots,0.26330322
498,1,MS,roots,0.26230556
499,1,MS,roots,0.26049239
500,1,MS,roots,0.2575834
501,1,MS,roots,0.25500701
502,1,MS,roots,0.25264368
503,1,MS,roots,0.25015568
504,1,MS,roots,0.25096369
505,1,MS,roots,0.25391137
506,1,MS,roots,0.25299137
507,1,MS,roots,0.25355307
508,1,MS,roots,0.25318114
509,1,MS,roots,0.2465907
510,1,MS,roots,0.23632014
511,1,MS,roots,0.2317404
512,1,MS,roots,0.22965823
513,1,MS,roots,0.22730354
514,1,MS,roots,0.22505096
515,1,MS,roots,0.22321231
516,1,MS,roots,0.22191116
517,1,MS,roots,0.22043748
518,1,MS,roots,0.21872165
519,1,MS,roots,0.216258
520,1,MS,roots,0.21019182
521,1,MS,roots,0.20233283
522,1,MS,roots,0.19419552
523,1,MS,roots,0.18282712
524,1,MS,roots,0.17319578
525,1,MS,roots,0.16742036
526,1,MS,roots,0.16754297
527,1,MS,roots,0.17203855
528,1,MS,roots,0.18193102
529,1,MS,roots,0.18944134
530,1,MS,roots,0.19798615
531,1,MS,roots,0.20482162
532,1,MS,roots,0.20745343
533,1,MS,roots,0.20719
534,1,MS,roots,0.20495095
535,1,MS,roots,0.20193875
536,1,MS,roots,0.19994794
537,1,MS,roots,0.20133515
538,1,MS,roots,0.20016973
539,1,MS,roots,0.19630686
540,1,MS,roots,0.19606435
541,1,MS,roots,0.19503032
542,1,MS,roots,0.19441686
543,1,MS,roots,0.19290195
544,1,MS,roots,0.19019913
545,1,MS,roots,0.18724205
546,1,MS,roots,0.18421964
547,1,MS,roots,0.18129928
548,1,MS,roots,0.17754266
549,1,MS,roots,0.17308444
550,1,MS,roots,0.17007081
551,1,MS,roots,0.17052189
552,1,MS,roots,0.17727077
553,1,MS,roots,0.18658348
554,1,MS,roots,0.19451548
555,1,MS,roots,0.19961679
556,1,MS,roots,0.20373066
557,1,MS,roots,0.19703414
558,1,MS,roots,0.18938986
559,1,MS,roots,0.18207523
560,1,MS,roots,0.17552321
561,1,MS,roots,0.17053357
562,1,MS,roots,0.16704335
563,1,MS,roots,0.16597916
564,1,MS,roots,0.1668403
565,1,MS,roots,0.16851117
566,1,MS,roots,0.17095359
567,1,MS,roots,0.17249563
568,1,MS,roots,0.17268484
569,1,MS,roots,0.17287125
570,1,MS,roots,0.17241264
571,1,MS,roots,0.17110947
572,1,MS,roots,0.16990844
573,1,MS,roots,0.16730698
574,1,MS,roots,0.16442799
575,1,MS,roots,0.16473244
576,1,MS,roots,0.16643611
577,1,MS,roots,0.1707853
578,1,MS,roots,0.17505606
579,1,MS,roots,0.17615806
580,1,MS,roots,0.17595248
581,1,MS,roots,0.17454067
582,1,MS,roots,0.17341771
583,1,MS,roots,0.17405167
584,1,MS,roots,0.17395088
585,1,MS,roots,0.17250631
586,1,MS,roots,0.17129968
587,1,MS,roots,0.17112713
588,1,MS,roots,0.17061015
589,1,MS,roots,0.17011265
590,1,MS,roots,0.16970144
591,1,MS,roots,0.16911768
592,1,MS,roots,0.168531
593,1,MS,roots,0.167974
594,1,MS,roots,0.16725503
595,1,MS,roots,0.16645434
596,1,MS,roots,0.16547012
597,1,MS,roots,0.16465887
598,1,MS,roots,0.16481713
599,1,MS,roots,0.16604385
600,1,MS,roots,0.16817299
601,1,MS,roots,0.17178172
602,1,MS,roots,0.17652714
603,1,MS,roots,0.17978805
604,1,MS,roots,0.18257781
605,1,MS,roots,0.1848066
606,1,MS,roots,0.1864224
607,1,MS,roots,0.18739012
608,1,MS,roots,0.18798594
609,1,MS,roots,0.18832497
610,1,MS,roots,0.18849863
611,1,MS,roots,0.18892055
612,1,MS,roots,0.18934882
613,1,MS,roots,0.18920733
614,1,MS,roots,0.18888813
615,1,MS,roots,0.18839136
616,1,MS,roots,0.18767283
617,1,MS,roots,0.1868761
618,1,MS,roots,0.18594899
619,1,MS,roots,0.18493911
620,1,MS,roots,0.18400234
621,1,MS,roots,0.18373198
622,1,MS,roots,0.18474345
623,1,MS,roots,0.1861472
624,1,MS,roots,0.18802374
625,1,MS,roots,0.19047753
626,1,MS,roots,0.19323947
627,1,MS,roots,0.19586286
628,1,MS,roots,0.1982494
629,1,MS,roots,0.20030526
630,1,MS,roots,0.20212667
631,1,MS,roots,0.20350815
632,1,MS,roots,0.20483261
633,1,MS,roots,0.20588209
634,1,MS,roots,0.20676452
635,1,MS,roots,0.20744093
636,1,MS,roots,0.20798595
637,1,MS,roots,0.20829335
638,1,MS,roots,0.20844559
639,1,MS,roots,0.20831146
640,1,MS,roots,0.20822248
641,1,MS,roots,0.20791498
642,1,MS,roots,0.20750053
643,1,MS,roots,0.20706132
644,1,MS,roots,0.20652332
645,1,MS,roots,0.20677451
646,1,MS,roots,0.20756438
647,1,MS,roots,0.21072004
648,1,MS,roots,0.21327093
649,1,MS,roots,0.21810913
650,1,MS,roots,0.22278697
651,1,MS,roots,0.22685513
652,1,MS,roots,0.23037103
653,1,MS,roots,0.23482087
654,1,MS,roots,0.24230185
655,1,MS,roots,0.2543886
656,1,MS,roots,0.26420289
657,1,MS,roots,0.27225306
658,1,MS,roots,0.27949727
659,1,MS,roots,0.28617534
660,1,MS,roots,0.29171127
661,1,MS,roots,0.29829457
662,1,MS,roots,0.30513457
663,1,MS,roots,0.30554716
664,1,MS,roots,0.30309388
665,1,MS,roots,0.29909479
666,1,MS,roots,0.2945459
667,1,MS,roots,0.28501038
668,1,MS,roots,0.27820287
669,1,MS,roots,0.27332292
670,1,MS,roots,0.2775775
671,1,MS,roots,0.29689295
672,1,MS,roots,0.32323598
673,1,MS,roots,0.34659033
674,1,MS,roots,0.36431172
675,1,MS,roots,0.3742735
676,1,MS,roots,0.36823456
677,1,MS,roots,0.35704034
678,1,MS,roots,0.34191433
679,1,MS,roots,0.32946706
680,1,MS,roots,0.32390488
681,1,MS,roots,0.32298913
682,1,MS,roots,0.31993647
683,1,MS,roots,0.31775235
684,1,MS,roots,0.31536213
685,1,MS,roots,0.31473726
686,1,MS,roots,0.31481473
687,1,MS,roots,0.31526777
688,1,MS,roots,0.31765446
689,1,MS,roots,0.31691222
690,1,MS,roots,0.31217964
691,1,MS,roots,0.31359666
692,1,MS,roots,0.3100048
693,1,MS,roots,0.30848389
694,1,MS,roots,0.31342026
695,1,MS,roots,0.33026653
696,1,MS,roots,0.35632759
697,1,MS,roots,0.3847866
698,1,MS,roots,0.40986287
699,1,MS,roots,0.42365042
700,1,MS,roots,0.4246491
701,1,MS,roots,0.41662855
702,1,MS,roots,0.4100261
703,1,MS,roots,0.408879
704,1,MS,roots,0.40657719
705,1,MS,roots,0.40397985
706,1,MS,roots,0.40003671
707,1,MS,roots,0.39704802
708,1,MS,roots,0.39256621
709,1,MS,roots,0.38789859
710,1,MS,roots,0.38425812
711,1,MS,roots,0.38241674
712,1,MS,roots,0.38441964
713,1,MS,roots,0.38863401
714,1,MS,roots,0.39330671
715,1,MS,roots,0.39529038
716,1,MS,roots,0.39102051
717,1,MS,roots,0.38247846
718,1,MS,roots,0.37951422
719,1,MS,roots,0.38285127
720,1,MS,roots,0.39229316
721,1,MS,roots,0.40463805
722,1,MS,roots,0.40800087
723,1,MS,roots,0.40751773
724,1,MS,roots,0.40581018
725,1,MS,roots,0.40253217
726,1,MS,roots,0.39757128
727,1,MS,roots,0.39021425
728,1,MS,roots,0.382314
729,1,MS,roots,0.37705389
730,1,MS,roots,0.37360223
731,1,MS,roots,0.37034837
732,1,MS,roots,0.364954
733,1,MS,roots,0.3549095
734,1,MS,roots,0.34501482
735,1,MS,roots,0.33479737
736,1,MS,roots,0.32398802
737,1,MS,roots,0.31524149
738,1,MS,roots,0.30776145
739,1,MS,roots,0.2997268
740,1,MS,roots,0.29238256
741,1,MS,roots,0.28601464
742,1,MS,roots,0.28324407
743,1,MS,roots,0.28519505
744,1,MS,roots,0.29057026
745,1,MS,roots,0.29988114
746,1,MS,roots,0.31305261
747,1,MS,roots,0.3233645
748,1,MS,roots,0.32696818
749,1,MS,roots,0.32324982
750,1,MS,roots,0.31307627
751,1,MS,roots,0.30888681
752,1,MS,roots,0.29717897
753,1,MS,roots,0.28093884
754,1,MS,roots,0.26578407
755,1,MS,roots,0.25320571
756,1,MS,roots,0.24356341
757,1,MS,roots,0.23535845
758,1,MS,roots,0.22943917
759,1,MS,roots,0.22527642
760,1,MS,roots,0.22165531
761,1,MS,roots,0.2185724
762,1,MS,roots,0.21593357
763,1,MS,roots,0.21315434
764,1,MS,roots,0.21057975
765,1,MS,roots,0.20967226
766,1,MS,roots,0.21216866
767,1,MS,roots,0.22272029
768,1,MS,roots,0.25167548
769,1,MS,roots,0.2938198
770,1,MS,roots,0.33075735
771,1,MS,roots,0.3519175
772,1,MS,roots,0.3548371
773,1,MS,roots,0.34951776
774,1,MS,roots,0.34522587
775,1,MS,roots,0.34191817
776,1,MS,roots,0.33823253
777,1,MS,roots,0.33892964
778,1,MS,roots,0.34074546
779,1,MS,roots,0.34336615
780,1,MS,roots,0.34545302
781,1,MS,roots,0.34558516
782,1,MS,roots,0.34517826
783,1,MS,roots,0.34379978
784,1,MS,roots,0.34338269
785,1,MS,roots,0.33977682
786,1,MS,roots,0.33509443
787,1,MS,roots,0.33048039
788,1,MS,roots,0.32796596
789,1,MS,roots,0.33097608
790,1,MS,roots,0.33876974
791,1,MS,roots,0.34986209
792,1,MS,roots,0.36778729
793,1,MS,roots,0.38577597
794,1,MS,roots,0.40246092
795,1,MS,roots,0.41071232
796,1,MS,roots,0.41289023
797,1,MS,roots,0.41127474
798,1,MS,roots,0.40819061
799,1,MS,roots,0.4071566
800,1,MS,roots,0.40524739
801,1,MS,roots,0.40292894
802,1,MS,roots,0.40086656
803,1,MS,roots,0.39735622
804,1,MS,roots,0.39299196
805,1,MS,roots,0.38799587
806,1,MS,roots,0.38393852
807,1,MS,roots,0.38122321
808,1,MS,roots,0.38061832
809,1,MS,roots,0.38025252
810,1,MS,roots,0.37585729
811,1,MS,roots,0.36829711
812,1,MS,roots,0.35807903
813,1,MS,roots,0.34803747
814,1,MS,roots,0.34638257
815,1,MS,roots,0.35187162
816,1,MS,roots,0.36318496
817,1,MS,roots,0.37398914
818,1,MS,roots,0.38984443
819,1,MS,roots,0.40446586
820,1,MS,roots,0.40636532
821,1,MS,roots,0.40054593
822,1,MS,roots,0.39478878
823,1,MS,roots,0.3910173
824,1,MS,roots,0.38829833
825,1,MS,roots,0.38594741
826,1,MS,roots,0.3830916
827,1,MS,roots,0.37804564
828,1,MS,roots,0.37239604
829,1,MS,roots,0.36670883
830,1,MS,roots,0.36113788
831,1,MS,roots,0.35371229
832,1,MS,roots,0.3425999
833,1,MS,roots,0.33099992
834,1,MS,roots,0.32400139
835,1,MS,roots,0.31936059
836,1,MS,roots,0.3129893
837,1,MS,roots,0.30417586
838,1,MS,roots,0.30401994
839,1,MS,roots,0.30848392
840,1,MS,roots,0.31908734
841,1,MS,roots,0.34760055
842,1,MS,roots,0.3784061
843,1,MS,roots,0.39406576
844,1,MS,roots,0.39462224
845,1,MS,roots,0.38441685
846,1,MS,roots,0.36869114
847,1,MS,roots,0.35167762
848,1,MS,roots,0.33727275
849,1,MS,roots,0.32469098
850,1,MS,roots,0.31233087
851,1,MS,roots,0.3003132
852,1,MS,roots,0.28938313
853,1,MS,roots,0.28341828
854,1,MS,roots,0.28273908
855,1,MS,roots,0.28160707
856,1,MS,roots,0.28343041
857,1,MS,roots,0.28554438
858,1,MS,roots,0.2867304
859,1,MS,roots,0.28623374
860,1,MS,roots,0.28359621
861,1,MS,roots,0.28056996
862,1,MS,roots,0.28140948
863,1,MS,roots,0.28580704
864,1,MS,roots,0.29343355
865,1,MS,roots,0.30576751
866,1,MS,roots,0.31469834
867,1,MS,roots,0.31730005
868,1,MS,roots,0.31783783
869,1,MS,roots,0.31502764
870,1,MS,roots,0.30891612
871,1,MS,roots,0.30296861
872,1,MS,roots,0.29767283
