t,plant,axis,organ,Uptake_Nitrates
0,1,MS,roots,0
1,1,MS,roots,0.27247169
2,1,MS,roots,0.24111698
3,1,MS,roots,0.24696227
4,1,MS,roots,0.23212092
5,1,MS,roots,0.22002325
6,1,MS,roots,0.21072565
7,1,MS,roots,0.2034685
8,1,MS,roots,0.19768232
9,1,MS,roots,0.19247363
10,1,MS,roots,0.18798865
11,1,MS,roots,0.18414542
12,1,MS,roots,0.17999583
13,1,MS,roots,0.1755376
14,1,MS,roots,0.17161173
15,1,MS,roots,0.16842331
16,1,MS,roots,0.1660956
17,1,MS,roots,0.16429468
18,1,MS,roots,0.16284624
19,1,MS,roots,0.16142262
20,1,MS,roots,0.16022754
21,1,MS,roots,0.15944929
22,1,MS,roots,0.15926481
23,1,MS,roots,0.15943345
24,1,MS,roots,0.15908229
25,1,MS,roots,0.15820378
26,1,MS,roots,0.15762717
27,1,MS,roots,0.15770651
28,1,MS,roots,0.15718571
29,1,MS,roots,0.15605149
30,1,MS,roots,0.15428284
31,1,MS,roots,0.15244029
32,1,MS,roots,0.14933421
33,1,MS,roots,0.14731032
34,1,MS,roots,0.14381771
35,1,MS,roots,0.13942648
36,1,MS,roots,0.13756142
37,1,MS,roots,0.13610021
38,1,MS,roots,0.13285033
39,1,MS,roots,0.12712314
40,1,MS,roots,0.12339142
41,1,MS,roots,0.1213672
42,1,MS,roots,0.11868583
43,1,MS,roots,0.11578291
44,1,MS,roots,0.11175639
45,1,MS,roots,0.1072571
46,1,MS,roots,0.10587911
47,1,MS,roots,0.10818827
48,1,MS,roots,0.1133711
49,1,MS,roots,0.11992449
50,1,MS,roots,0.12525716
51,1,MS,roots,0.1291672
52,1,MS,roots,0.13188243
53,1,MS,roots,0.13152006
54,1,MS,roots,0.12978396
55,1,MS,roots,0.12891799
56,1,MS,roots,0.12778745
57,1,MS,roots,0.12728297
58,1,MS,roots,0.12696894
59,1,MS,roots,0.12687202
60,1,MS,roots,0.12660608
61,1,MS,roots,0.12565937
62,1,MS,roots,0.12422521
63,1,MS,roots,0.12252061
64,1,MS,roots,0.12094196
65,1,MS,roots,0.11957249
66,1,MS,roots,0.11815362
67,1,MS,roots,0.11648563
68,1,MS,roots,0.11465351
69,1,MS,roots,0.11283862
70,1,MS,roots,0.11147138
71,1,MS,roots,0.11097187
72,1,MS,roots,0.11191351
73,1,MS,roots,0.11381845
74,1,MS,roots,0.11498226
75,1,MS,roots,0.115477
76,1,MS,roots,0.11423882
77,1,MS,roots,0.11131464
78,1,MS,roots,0.10715478
79,1,MS,roots,0.10341276
80,1,MS,roots,0.10045943
81,1,MS,roots,0.09767751
82,1,MS,roots,0.09544117
83,1,MS,roots,0.09380479
84,1,MS,roots,0.0931718
85,1,MS,roots,0.09303132
86,1,MS,roots,0.09269066
87,1,MS,roots,0.09232358
88,1,MS,roots,0.09185951
89,1,MS,roots,0.09125929
90,1,MS,roots,0.09065014
91,1,MS,roots,0.09019344
92,1,MS,roots,0.08943409
93,1,MS,roots,0.08891774
94,1,MS,roots,0.08949054
95,1,MS,roots,0.09125929
96,1,MS,roots,0.09520322
97,1,MS,roots,0.10256728
98,1,MS,roots,0.10993031
99,1,MS,roots,0.11632515
